iter	Passed	Remaining
0	136	136840
1	137	68767
2	138	46025
3	139	34648
4	139	27827
5	140	23281
6	141	20033
7	141	17605
8	142	15706
9	143	14186
10	143	12944
11	144	11914
12	145	11064
13	146	10334
14	147	9682
15	148	9114
16	148	8608
17	149	8159
18	150	7757
19	150	7397
20	151	7072
21	152	6774
22	153	6503
23	153	6255
24	154	6025
25	155	5813
26	155	5617
27	156	5435
28	157	5266
29	157	5107
30	158	4960
31	159	4827
32	160	4714
33	161	4590
34	162	4474
35	163	4365
36	163	4260
37	164	4160
38	165	4067
39	165	3978
40	166	3894
41	167	3819
42	168	3741
43	168	3667
44	169	3595
45	170	3527
46	170	3462
47	171	3400
48	172	3340
49	173	3289
50	175	3261
51	176	3209
52	176	3162
53	177	3115
54	179	3076
55	179	3029
56	180	2984
57	181	2940
58	181	2899
59	182	2858
60	183	2820
61	184	2784
62	184	2747
63	185	2712
64	186	2676
65	186	2645
66	188	2618
67	189	2592
68	189	2561
69	190	2530
70	191	2501
71	191	2472
72	192	2444
73	193	2419
74	193	2392
75	194	2366
76	195	2340
77	195	2315
78	196	2291
79	197	2268
80	197	2245
81	198	2223
82	198	2197
83	199	2176
84	200	2155
85	201	2137
86	202	2122
87	203	2106
88	204	2089
89	204	2071
90	205	2053
91	206	2036
92	207	2020
93	207	2003
94	208	1989
95	209	1973
96	210	1956
97	210	1940
98	211	1924
99	212	1909
100	212	1894
101	213	1880
102	214	1866
103	215	1852
104	215	1838
105	216	1824
106	217	1813
107	218	1803
108	219	1790
109	219	1777
110	220	1764
111	221	1752
112	221	1739
113	222	1727
114	222	1715
115	223	1704
116	224	1692
117	224	1681
118	225	1670
119	226	1659
120	226	1648
121	227	1636
122	228	1631
123	229	1621
124	230	1611
125	230	1601
126	231	1592
127	232	1587
128	233	1579
129	234	1570
130	235	1560
131	235	1551
132	236	1542
133	237	1535
134	238	1526
135	239	1518
136	239	1509
137	240	1501
138	240	1492
139	241	1485
140	242	1477
141	242	1467
142	243	1459
143	244	1451
144	244	1444
145	245	1436
146	246	1431
147	247	1425
148	248	1418
149	249	1411
150	249	1404
151	250	1396
152	251	1389
153	251	1383
154	252	1378
155	254	1374
156	254	1368
157	255	1363
158	256	1358
159	257	1353
160	258	1348
161	259	1342
162	260	1335
163	262	1340
164	264	1336
165	265	1331
166	265	1326
167	267	1326
168	268	1322
169	269	1317
170	270	1311
171	271	1308
172	272	1304
173	273	1299
174	274	1293
175	275	1288
176	276	1284
177	277	1280
178	279	1280
179	280	1275
180	281	1271
181	281	1267
182	282	1262
183	283	1258
184	284	1254
185	285	1249
186	286	1244
187	287	1240
188	287	1235
189	288	1230
190	289	1225
191	289	1220
192	291	1217
193	292	1213
194	294	1215
195	295	1213
196	296	1209
197	297	1204
198	298	1200
199	299	1196
200	300	1193
201	301	1189
202	301	1185
203	303	1183
204	304	1179
205	305	1176
206	307	1178
207	309	1177
208	310	1176
209	311	1172
210	312	1167
211	313	1163
212	314	1160
213	315	1157
214	315	1153
215	316	1148
216	317	1144
217	317	1140
218	318	1135
219	319	1131
220	320	1127
221	321	1125
222	322	1124
223	323	1121
224	325	1119
225	326	1116
226	327	1113
227	327	1109
228	328	1106
229	329	1102
230	330	1098
231	330	1095
232	331	1091
233	332	1087
234	332	1083
235	333	1079
236	334	1076
237	335	1073
238	336	1070
239	337	1068
240	338	1066
241	339	1062
242	340	1060
243	341	1057
244	342	1054
245	342	1050
246	343	1047
247	344	1044
248	345	1042
249	346	1038
250	346	1035
251	347	1031
252	348	1028
253	348	1024
254	350	1024
255	351	1022
256	353	1020
257	353	1017
258	354	1014
259	355	1013
260	356	1010
261	358	1008
262	358	1005
263	359	1001
264	360	998
265	360	995
266	361	992
267	362	989
268	362	985
269	363	982
270	364	980
271	365	978
272	366	977
273	367	974
274	368	971
275	369	969
276	370	967
277	371	964
278	372	962
279	373	960
280	374	958
281	375	956
282	376	953
283	377	952
284	382	958
285	391	976
286	407	1011
287	408	1009
288	412	1014
289	414	1014
290	415	1012
291	417	1011
292	418	1010
293	419	1008
294	420	1005
295	422	1003
296	423	1002
297	424	1000
298	425	998
299	428	1000
300	429	998
301	431	996
302	433	996
303	434	994
304	435	992
305	436	990
306	437	988
307	446	1003
308	447	1001
309	449	999
310	450	997
311	451	995
312	453	996
313	455	994
314	456	992
315	457	990
316	459	990
317	460	988
318	462	986
319	463	984
320	464	982
321	465	980
322	468	982
323	469	980
324	471	978
325	472	976
326	473	975
327	475	973
328	476	971
329	478	971
330	494	999
331	495	997
332	496	995
333	497	992
334	501	994
335	502	992
336	503	990
337	507	994
338	508	992
339	510	990
340	511	987
341	512	985
342	513	983
343	515	982
344	516	981
345	518	979
346	520	979
347	521	977
348	522	975
349	524	973
350	525	971
351	526	969
352	527	967
353	538	981
354	539	979
355	540	977
356	541	975
357	542	973
358	543	971
359	546	971
360	547	969
361	548	967
362	550	965
363	551	962
364	552	961
365	553	959
366	554	956
367	555	954
368	556	951
369	557	948
370	572	970
371	573	968
372	574	966
373	575	964
374	579	965
375	580	963
376	582	961
377	584	961
378	585	959
379	586	957
380	587	955
381	589	953
382	590	951
383	591	948
384	593	948
385	594	946
386	596	944
387	597	942
388	599	941
389	600	939
390	601	937
391	602	934
392	603	931
393	603	928
394	604	926
395	605	923
396	606	920
397	607	918
398	608	916
399	609	913
400	609	910
401	610	908
402	611	905
403	611	902
404	612	899
405	613	897
406	614	894
407	614	892
408	615	889
409	616	886
410	616	884
411	617	881
412	618	878
413	618	876
414	619	873
415	620	871
416	621	868
417	622	866
418	622	863
419	623	861
420	624	858
421	625	856
422	625	853
423	626	850
424	627	848
425	627	846
426	628	843
427	629	840
428	630	838
429	630	836
430	631	833
431	632	831
432	632	828
433	633	826
434	634	824
435	635	821
436	636	819
437	637	817
438	638	815
439	639	813
440	640	811
441	640	808
442	641	806
443	642	804
444	642	801
445	643	799
446	644	797
447	645	794
448	645	792
449	646	790
450	647	787
451	648	785
452	648	783
453	649	781
454	650	778
455	651	776
456	652	774
457	652	772
458	653	770
459	654	768
460	654	765
461	655	763
462	656	761
463	657	758
464	657	756
465	658	754
466	659	752
467	659	750
468	660	748
469	661	745
470	662	743
471	662	741
472	663	739
473	664	737
474	665	735
475	665	732
476	666	731
477	667	729
478	668	726
479	668	724
480	669	722
481	670	720
482	671	718
483	671	716
484	672	714
485	673	712
486	674	710
487	674	708
488	675	706
489	676	703
490	677	701
491	677	699
492	678	697
493	679	695
494	679	693
495	680	691
496	681	689
497	682	687
498	683	685
499	683	683
500	684	681
501	685	679
502	685	677
503	686	675
504	687	673
505	688	671
506	688	669
